Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-79092,2023-02-08,2023-02-10,Same Day,CUST-7644,Consumer,United States,Los Angeles,Illinois,East,Office Supplies,Storage,Product D,844.13,4,0.03,11.59
CA-13890,2023-02-09,2023-02-11,Same Day,CUST-1116,Consumer,United States,Chicago,New York,East,Technology,Tables,Product A,368.56,5,0.21,-27.85
CA-51606,2023-02-10,2023-02-12,Standard Class,CUST-3433,Corporate,United States,Chicago,Arizona,East,Furniture,Tables,Product C,663.87,7,0.2,121.0
CA-90038,2023-02-11,2023-02-13,Standard Class,CUST-6463,Corporate,United States,Phoenix,Illinois,Central,Technology,Tables,Product C,476.11,3,0.09,-13.81
CA-97313,2023-02-12,2023-02-14,Standard Class,CUST-1583,Corporate,United States,Houston,California,East,Furniture,Tables,Product B,206.94,5,0.2,-19.86
CA-20627,2023-02-13,2023-02-15,Second Class,CUST-9586,Home Office,United States,Los Angeles,Illinois,West,Technology,Tables,Product D,605.67,3,0.09,296.21
CA-18792,2023-02-14,2023-02-16,Second Class,CUST-4788,Corporate,United States,Phoenix,Texas,South,Technology,Binders,Product B,70.08,5,0.42,220.7
CA-83969,2023-02-15,2023-02-17,Standard Class,CUST-5167,Consumer,United States,Phoenix,Illinois,South,Furniture,Storage,Product B,419.21,3,0.15,199.31
CA-53001,2023-02-16,2023-02-18,Standard Class,CUST-9465,Home Office,United States,Houston,New York,East,Technology,Binders,Product C,551.15,7,0.3,217.62
CA-86552,2023-02-17,2023-02-19,Standard Class,CUST-2389,Corporate,United States,Los Angeles,Illinois,East,Technology,Binders,Product B,441.69,1,0.25,287.57
CA-33897,2023-02-18,2023-02-20,Same Day,CUST-9357,Home Office,United States,Houston,Texas,East,Technology,Chairs,Product A,751.19,9,0.03,129.31
CA-78148,2023-02-19,2023-02-21,Second Class,CUST-7154,Home Office,United States,Los Angeles,California,Central,Office Supplies,Chairs,Product B,829.65,9,0.47,-11.9
CA-33483,2023-02-20,2023-02-22,Same Day,CUST-6420,Corporate,United States,Houston,Arizona,South,Furniture,Chairs,Product B,773.53,5,0.26,244.88
CA-58555,2023-02-21,2023-02-23,Same Day,CUST-9920,Home Office,United States,Phoenix,Illinois,East,Technology,Phones,Product C,48.42,9,0.16,197.09
CA-27159,2023-02-22,2023-02-24,Standard Class,CUST-3043,Consumer,United States,Phoenix,Texas,West,Furniture,Chairs,Product B,202.19,6,0.08,65.72
CA-90077,2023-02-23,2023-02-25,Standard Class,CUST-5197,Consumer,United States,New York,Texas,East,Furniture,Storage,Product D,541.24,5,0.17,89.43
CA-45920,2023-02-24,2023-02-26,First Class,CUST-4496,Home Office,United States,Chicago,California,South,Furniture,Binders,Product C,935.47,3,0.01,64.5
CA-77121,2023-02-25,2023-02-27,First Class,CUST-1778,Corporate,United States,Houston,New York,East,Technology,Storage,Product B,836.61,8,0.18,271.98
CA-79479,2023-02-26,2023-02-28,Same Day,CUST-1213,Home Office,United States,New York,Illinois,South,Technology,Chairs,Product A,844.11,4,0.27,37.41
CA-99475,2023-02-27,2023-03-01,Second Class,CUST-4762,Consumer,United States,Chicago,Texas,East,Furniture,Phones,Product A,310.18,3,0.44,285.39
CA-29457,2023-02-28,2023-03-02,Standard Class,CUST-7731,Home Office,United States,Houston,California,West,Office Supplies,Phones,Product C,435.15,6,0.34,264.11
CA-76557,2023-03-01,2023-03-03,Standard Class,CUST-4117,Home Office,United States,Los Angeles,Arizona,East,Furniture,Binders,Product C,476.0,8,0.06,152.21
CA-87189,2023-03-02,2023-03-04,Same Day,CUST-6791,Consumer,United States,Chicago,Texas,West,Office Supplies,Storage,Product B,165.8,9,0.07,131.93
CA-88953,2023-03-03,2023-03-05,First Class,CUST-9783,Home Office,United States,Phoenix,California,West,Furniture,Tables,Product D,40.76,6,0.21,48.04
CA-62995,2023-03-04,2023-03-06,Second Class,CUST-3720,Home Office,United States,New York,New York,East,Furniture,Storage,Product B,947.43,5,0.1,-92.66
CA-50757,2023-03-05,2023-03-07,First Class,CUST-9905,Corporate,United States,Chicago,New York,West,Furniture,Chairs,Product A,248.31,2,0.01,-48.95
CA-19692,2023-03-06,2023-03-08,First Class,CUST-7047,Corporate,United States,Chicago,Texas,Central,Technology,Tables,Product D,247.55,2,0.4,201.69
CA-55758,2023-03-07,2023-03-09,First Class,CUST-9032,Consumer,United States,Phoenix,Texas,East,Office Supplies,Phones,Product D,92.55,9,0.01,88.62
CA-82409,2023-03-08,2023-03-10,First Class,CUST-1001,Consumer,United States,Houston,Illinois,East,Office Supplies,Binders,Product D,929.22,2,0.42,-40.06
CA-81211,2023-03-09,2023-03-11,Standard Class,CUST-7368,Consumer,United States,Los Angeles,California,West,Furniture,Binders,Product B,583.94,2,0.07,5.58
CA-75697,2023-03-10,2023-03-12,Standard Class,CUST-2949,Corporate,United States,Phoenix,Texas,West,Technology,Phones,Product A,670.37,3,0.49,279.13
CA-47065,2023-03-11,2023-03-13,First Class,CUST-7732,Consumer,United States,Los Angeles,Illinois,East,Technology,Chairs,Product C,912.46,3,0.3,46.85
CA-42606,2023-03-12,2023-03-14,Second Class,CUST-8833,Consumer,United States,Houston,Illinois,Central,Office Supplies,Phones,Product B,352.16,4,0.37,263.07
CA-21534,2023-03-13,2023-03-15,Same Day,CUST-1917,Consumer,United States,Chicago,Texas,West,Technology,Chairs,Product C,625.29,7,0.06,21.85
CA-50397,2023-03-14,2023-03-16,Second Class,CUST-4174,Corporate,United States,Los Angeles,New York,West,Office Supplies,Tables,Product D,48.41,9,0.43,117.29
CA-11016,2023-03-15,2023-03-17,Second Class,CUST-8014,Home Office,United States,New York,California,South,Office Supplies,Phones,Product D,194.9,2,0.42,-91.81
CA-99789,2023-03-16,2023-03-18,Second Class,CUST-1089,Consumer,United States,New York,California,Central,Office Supplies,Chairs,Product B,832.93,4,0.33,108.75
CA-65591,2023-03-17,2023-03-19,First Class,CUST-2709,Home Office,United States,Phoenix,New York,Central,Technology,Tables,Product A,769.1,9,0.25,154.78
CA-99812,2023-03-18,2023-03-20,Standard Class,CUST-4041,Consumer,United States,Houston,Texas,East,Office Supplies,Phones,Product D,357.14,2,0.36,-6.28
CA-33247,2023-03-19,2023-03-21,Second Class,CUST-1105,Home Office,United States,Phoenix,California,Central,Office Supplies,Binders,Product C,383.04,1,0.0,131.57
CA-34300,2023-03-20,2023-03-22,First Class,CUST-9619,Corporate,United States,Phoenix,Texas,East,Furniture,Phones,Product C,538.22,8,0.3,158.87
CA-84065,2023-03-21,2023-03-23,Second Class,CUST-2895,Corporate,United States,Phoenix,Texas,South,Office Supplies,Storage,Product B,10.24,9,0.42,174.75
CA-92798,2023-03-22,2023-03-24,Second Class,CUST-7090,Consumer,United States,New York,Illinois,Central,Office Supplies,Phones,Product C,248.83,7,0.18,210.56
CA-19268,2023-03-23,2023-03-25,First Class,CUST-9508,Home Office,United States,New York,New York,West,Furniture,Storage,Product A,216.15,8,0.05,24.54
CA-96807,2023-03-24,2023-03-26,Standard Class,CUST-7082,Corporate,United States,Phoenix,Texas,South,Furniture,Tables,Product D,257.98,4,0.21,127.11
CA-22185,2023-03-25,2023-03-27,Standard Class,CUST-1634,Consumer,United States,New York,Arizona,East,Technology,Phones,Product C,807.85,4,0.36,292.63
CA-73704,2023-03-26,2023-03-28,Same Day,CUST-2925,Consumer,United States,Houston,New York,South,Office Supplies,Tables,Product C,286.88,2,0.05,259.26
CA-96779,2023-03-27,2023-03-29,First Class,CUST-3056,Corporate,United States,Phoenix,California,East,Technology,Tables,Product D,199.61,8,0.1,281.07
CA-49099,2023-03-28,2023-03-30,Same Day,CUST-7917,Corporate,United States,New York,Illinois,South,Technology,Chairs,Product B,509.22,2,0.07,54.45
CA-18571,2023-03-29,2023-03-31,Same Day,CUST-4144,Consumer,United States,Los Angeles,California,East,Furniture,Tables,Product C,866.99,9,0.4,214.77
CA-48044,2023-03-30,2023-04-01,Same Day,CUST-1552,Home Office,United States,Phoenix,California,Central,Technology,Tables,Product B,248.94,4,0.03,147.96
CA-61214,2023-03-31,2023-04-02,Standard Class,CUST-9907,Home Office,United States,Phoenix,New York,West,Office Supplies,Phones,Product B,87.75,1,0.34,-66.91
CA-71228,2023-04-01,2023-04-03,First Class,CUST-6383,Home Office,United States,Houston,California,East,Furniture,Phones,Product C,362.84,4,0.18,229.59
CA-58984,2023-04-02,2023-04-04,Same Day,CUST-4911,Consumer,United States,Chicago,Texas,South,Office Supplies,Binders,Product A,750.18,3,0.38,170.84
CA-50774,2023-04-03,2023-04-05,First Class,CUST-4389,Corporate,United States,Chicago,California,East,Office Supplies,Chairs,Product B,555.18,6,0.48,-20.43
CA-12568,2023-04-04,2023-04-06,First Class,CUST-9442,Consumer,United States,Houston,Illinois,East,Furniture,Tables,Product C,818.63,7,0.06,-68.1
CA-72592,2023-04-05,2023-04-07,Standard Class,CUST-3430,Corporate,United States,Houston,Illinois,East,Office Supplies,Chairs,Product B,960.0,8,0.16,234.81
CA-77563,2023-04-06,2023-04-08,Same Day,CUST-1458,Home Office,United States,Houston,Arizona,South,Furniture,Storage,Product D,794.74,2,0.41,-68.44
CA-12695,2023-04-07,2023-04-09,Same Day,CUST-1207,Home Office,United States,Chicago,Illinois,West,Office Supplies,Tables,Product A,607.77,6,0.13,-63.46
CA-58190,2023-04-08,2023-04-10,First Class,CUST-1899,Corporate,United States,Houston,California,Central,Furniture,Chairs,Product A,498.41,6,0.11,70.96
CA-15258,2023-04-09,2023-04-11,Second Class,CUST-1021,Corporate,United States,New York,Illinois,West,Technology,Binders,Product D,49.67,5,0.41,-46.08
CA-97538,2023-04-10,2023-04-12,Standard Class,CUST-9601,Consumer,United States,Phoenix,New York,East,Office Supplies,Binders,Product D,984.48,7,0.49,265.47
CA-49504,2023-04-11,2023-04-13,Standard Class,CUST-1894,Home Office,United States,Phoenix,Illinois,South,Furniture,Tables,Product B,389.65,3,0.28,88.11
CA-43159,2023-04-12,2023-04-14,Standard Class,CUST-1514,Consumer,United States,Los Angeles,Texas,West,Office Supplies,Storage,Product D,160.71,4,0.14,127.66
CA-23986,2023-04-13,2023-04-15,Standard Class,CUST-8294,Consumer,United States,Los Angeles,New York,East,Office Supplies,Binders,Product A,670.04,9,0.2,271.24
CA-71858,2023-04-14,2023-04-16,Same Day,CUST-5904,Consumer,United States,Phoenix,Arizona,Central,Office Supplies,Binders,Product D,291.45,4,0.09,112.11
CA-22666,2023-04-15,2023-04-17,Same Day,CUST-8867,Home Office,United States,New York,Texas,Central,Furniture,Storage,Product C,589.92,3,0.38,41.44
CA-48660,2023-04-16,2023-04-18,Second Class,CUST-5109,Consumer,United States,Chicago,California,Central,Technology,Chairs,Product C,590.9,2,0.39,218.86
CA-13561,2023-04-17,2023-04-19,Standard Class,CUST-8179,Consumer,United States,Chicago,California,East,Technology,Binders,Product B,451.27,5,0.44,77.14
CA-36854,2023-04-18,2023-04-20,Standard Class,CUST-2560,Consumer,United States,New York,California,South,Technology,Phones,Product A,837.76,4,0.01,27.39
CA-74505,2023-04-19,2023-04-21,First Class,CUST-2266,Consumer,United States,Chicago,Texas,West,Furniture,Binders,Product C,272.32,8,0.28,189.29
CA-62251,2023-04-20,2023-04-22,Same Day,CUST-4638,Consumer,United States,Houston,Texas,Central,Technology,Chairs,Product D,454.15,7,0.11,220.64
CA-32662,2023-04-21,2023-04-23,Standard Class,CUST-9941,Consumer,United States,Phoenix,Texas,East,Furniture,Chairs,Product C,542.32,6,0.17,216.69
CA-18392,2023-04-22,2023-04-24,Second Class,CUST-4427,Home Office,United States,Phoenix,New York,East,Office Supplies,Tables,Product C,666.99,2,0.39,291.07
CA-40535,2023-04-23,2023-04-25,Second Class,CUST-5780,Consumer,United States,New York,New York,West,Office Supplies,Phones,Product B,786.13,3,0.1,214.67
CA-88603,2023-04-24,2023-04-26,Same Day,CUST-2927,Corporate,United States,Chicago,California,Central,Technology,Chairs,Product D,400.86,9,0.32,207.97
CA-62256,2023-04-25,2023-04-27,Second Class,CUST-3356,Consumer,United States,Los Angeles,Illinois,East,Furniture,Storage,Product D,649.59,9,0.33,242.99
CA-99135,2023-04-26,2023-04-28,Second Class,CUST-5790,Consumer,United States,Los Angeles,California,West,Office Supplies,Phones,Product D,159.1,5,0.48,-99.93
CA-45222,2023-04-27,2023-04-29,Same Day,CUST-1306,Home Office,United States,Chicago,Arizona,South,Furniture,Phones,Product B,933.32,3,0.39,44.97
CA-87373,2023-04-28,2023-04-30,Standard Class,CUST-8979,Home Office,United States,Los Angeles,New York,South,Furniture,Storage,Product D,389.23,2,0.4,195.04
CA-89575,2023-04-29,2023-05-01,Standard Class,CUST-4665,Corporate,United States,New York,Texas,South,Office Supplies,Binders,Product D,732.23,8,0.27,139.89
CA-94651,2023-04-30,2023-05-02,Second Class,CUST-8057,Corporate,United States,New York,New York,Central,Furniture,Storage,Product C,30.14,6,0.09,-28.97
CA-73335,2023-05-01,2023-05-03,Second Class,CUST-1661,Home Office,United States,Chicago,Texas,West,Office Supplies,Storage,Product C,213.14,7,0.21,21.49
CA-20965,2023-05-02,2023-05-04,Standard Class,CUST-5644,Home Office,United States,Los Angeles,Arizona,West,Office Supplies,Binders,Product D,492.21,1,0.27,34.72
CA-34538,2023-05-03,2023-05-05,Same Day,CUST-9503,Consumer,United States,New York,Arizona,East,Office Supplies,Binders,Product A,879.47,1,0.34,127.13
CA-80592,2023-05-04,2023-05-06,Second Class,CUST-3920,Home Office,United States,New York,New York,East,Furniture,Binders,Product A,531.98,2,0.3,232.64
CA-18110,2023-05-05,2023-05-07,First Class,CUST-9946,Corporate,United States,Houston,Texas,East,Office Supplies,Binders,Product D,930.57,3,0.2,273.0
CA-89309,2023-05-06,2023-05-08,Same Day,CUST-7236,Consumer,United States,Houston,Arizona,West,Furniture,Binders,Product A,488.96,1,0.13,200.04
CA-37266,2023-05-07,2023-05-09,Second Class,CUST-7078,Corporate,United States,New York,California,East,Office Supplies,Storage,Product B,495.54,5,0.08,237.18
CA-62992,2023-05-08,2023-05-10,Second Class,CUST-1352,Consumer,United States,Chicago,California,West,Office Supplies,Tables,Product C,128.55,3,0.35,88.04
CA-92948,2023-05-09,2023-05-11,First Class,CUST-8005,Home Office,United States,Phoenix,Texas,West,Technology,Tables,Product B,804.63,1,0.32,55.91
CA-16910,2023-05-10,2023-05-12,First Class,CUST-1158,Corporate,United States,Phoenix,New York,South,Technology,Chairs,Product C,254.5,8,0.34,57.08
CA-10206,2023-05-11,2023-05-13,Standard Class,CUST-1956,Consumer,United States,New York,Arizona,East,Technology,Tables,Product A,900.62,6,0.19,146.42
CA-97054,2023-05-12,2023-05-14,Same Day,CUST-3071,Consumer,United States,New York,New York,South,Furniture,Tables,Product A,911.72,9,0.13,-50.31
CA-97897,2023-05-13,2023-05-15,Same Day,CUST-9595,Home Office,United States,New York,California,Central,Furniture,Storage,Product D,943.88,3,0.38,131.8
CA-33419,2023-05-14,2023-05-16,Standard Class,CUST-4453,Home Office,United States,Chicago,Arizona,Central,Office Supplies,Binders,Product A,525.03,9,0.39,166.05
CA-60636,2023-05-15,2023-05-17,Same Day,CUST-7675,Home Office,United States,Houston,New York,Central,Office Supplies,Binders,Product A,680.32,9,0.23,75.56
CA-60015,2023-05-16,2023-05-18,Same Day,CUST-1955,Corporate,United States,New York,Illinois,West,Office Supplies,Storage,Product D,780.73,1,0.31,281.27
CA-64268,2023-05-17,2023-05-19,Same Day,CUST-7295,Consumer,United States,New York,Texas,West,Office Supplies,Tables,Product D,139.7,3,0.19,143.29
CA-97939,2023-05-18,2023-05-20,Same Day,CUST-2712,Home Office,United States,Los Angeles,Texas,West,Furniture,Storage,Product C,604.95,6,0.35,-12.0
CA-28141,2023-05-19,2023-05-21,Same Day,CUST-5703,Corporate,United States,Chicago,Illinois,East,Office Supplies,Chairs,Product A,43.95,8,0.42,91.69
CA-90356,2023-05-20,2023-05-22,First Class,CUST-7563,Corporate,United States,New York,California,South,Office Supplies,Binders,Product C,502.59,4,0.34,170.16
CA-81910,2023-05-21,2023-05-23,Same Day,CUST-6631,Corporate,United States,Los Angeles,Arizona,West,Technology,Phones,Product C,163.29,5,0.26,29.45
CA-66044,2023-05-22,2023-05-24,First Class,CUST-2394,Home Office,United States,Phoenix,Texas,South,Office Supplies,Chairs,Product B,191.09,9,0.23,-68.14
CA-77214,2023-05-23,2023-05-25,Same Day,CUST-5732,Home Office,United States,New York,Illinois,South,Office Supplies,Chairs,Product A,371.4,6,0.32,133.37
CA-43827,2023-05-24,2023-05-26,Standard Class,CUST-4714,Consumer,United States,New York,Illinois,South,Office Supplies,Storage,Product A,438.11,7,0.34,279.15
CA-65820,2023-05-25,2023-05-27,Second Class,CUST-1529,Consumer,United States,Los Angeles,California,East,Furniture,Tables,Product B,626.94,7,0.28,94.03
CA-72623,2023-05-26,2023-05-28,First Class,CUST-3958,Home Office,United States,Chicago,California,East,Technology,Binders,Product C,83.68,4,0.31,262.44
CA-91734,2023-05-27,2023-05-29,Same Day,CUST-8904,Corporate,United States,New York,New York,Central,Office Supplies,Phones,Product A,508.65,4,0.05,234.01
CA-85450,2023-05-28,2023-05-30,Standard Class,CUST-4591,Corporate,United States,Phoenix,Texas,Central,Office Supplies,Chairs,Product C,190.8,4,0.48,-41.03
CA-32299,2023-05-29,2023-05-31,Second Class,CUST-7895,Corporate,United States,New York,New York,South,Technology,Phones,Product B,578.24,5,0.4,183.27
CA-53585,2023-05-30,2023-06-01,First Class,CUST-1525,Consumer,United States,Phoenix,Illinois,Central,Office Supplies,Tables,Product D,641.03,5,0.19,74.19
CA-74044,2023-05-31,2023-06-02,Second Class,CUST-7477,Corporate,United States,Houston,Arizona,South,Furniture,Tables,Product C,561.14,8,0.28,0.1
CA-52557,2023-06-01,2023-06-03,Standard Class,CUST-1001,Consumer,United States,Houston,Arizona,East,Office Supplies,Phones,Product A,740.91,9,0.02,174.78
CA-59080,2023-06-02,2023-06-04,First Class,CUST-1374,Consumer,United States,Phoenix,California,East,Furniture,Binders,Product D,342.25,2,0.02,197.06
CA-12693,2023-06-03,2023-06-05,Second Class,CUST-5648,Corporate,United States,Chicago,Arizona,East,Furniture,Tables,Product C,767.46,7,0.13,-28.04
CA-79163,2023-06-04,2023-06-06,Same Day,CUST-3365,Corporate,United States,New York,Arizona,West,Office Supplies,Phones,Product C,438.44,1,0.34,265.78
CA-35939,2023-06-05,2023-06-07,First Class,CUST-2525,Home Office,United States,New York,Arizona,South,Technology,Chairs,Product D,489.34,1,0.43,200.46
CA-58925,2023-06-06,2023-06-08,Second Class,CUST-2646,Home Office,United States,Houston,Illinois,East,Furniture,Phones,Product D,651.62,4,0.28,273.35
CA-52941,2023-06-07,2023-06-09,Standard Class,CUST-1013,Corporate,United States,Phoenix,Arizona,South,Technology,Phones,Product D,28.17,7,0.27,26.83
CA-31834,2023-06-08,2023-06-10,Standard Class,CUST-5599,Consumer,United States,New York,Arizona,Central,Office Supplies,Storage,Product A,657.45,2,0.2,275.73
CA-28047,2023-06-09,2023-06-11,First Class,CUST-3278,Consumer,United States,New York,Arizona,Central,Furniture,Tables,Product A,622.4,2,0.08,47.41
CA-36105,2023-06-10,2023-06-12,Second Class,CUST-4155,Consumer,United States,Chicago,New York,East,Office Supplies,Binders,Product C,316.75,1,0.06,-78.41
CA-85766,2023-06-11,2023-06-13,First Class,CUST-9321,Consumer,United States,Los Angeles,Illinois,South,Technology,Binders,Product C,94.94,2,0.38,205.19
CA-25707,2023-06-12,2023-06-14,First Class,CUST-4814,Consumer,United States,Houston,California,East,Office Supplies,Storage,Product B,100.03,7,0.46,181.4
CA-31976,2023-06-13,2023-06-15,Second Class,CUST-4216,Home Office,United States,Houston,New York,Central,Office Supplies,Binders,Product A,923.99,9,0.23,139.16
CA-54262,2023-06-14,2023-06-16,Second Class,CUST-9219,Corporate,United States,Los Angeles,Texas,East,Furniture,Phones,Product C,692.39,6,0.33,95.96
CA-33776,2023-06-15,2023-06-17,Same Day,CUST-3113,Home Office,United States,New York,Illinois,South,Office Supplies,Storage,Product D,135.83,2,0.46,-87.13
CA-40080,2023-06-16,2023-06-18,Second Class,CUST-5356,Consumer,United States,Chicago,Illinois,Central,Office Supplies,Chairs,Product D,363.16,9,0.05,149.84
CA-76842,2023-06-17,2023-06-19,Standard Class,CUST-6543,Consumer,United States,Chicago,Texas,West,Office Supplies,Tables,Product A,596.56,7,0.39,66.73
CA-71373,2023-06-18,2023-06-20,First Class,CUST-5555,Consumer,United States,Houston,Texas,Central,Furniture,Tables,Product D,837.22,1,0.31,124.08
CA-16776,2023-06-19,2023-06-21,First Class,CUST-8062,Consumer,United States,Chicago,Texas,West,Technology,Tables,Product B,53.22,9,0.3,71.73
CA-65016,2023-06-20,2023-06-22,Standard Class,CUST-4374,Corporate,United States,Los Angeles,California,East,Technology,Phones,Product C,244.27,2,0.15,286.42
CA-19474,2023-06-21,2023-06-23,Second Class,CUST-7430,Consumer,United States,New York,Arizona,East,Office Supplies,Chairs,Product C,890.85,4,0.34,141.64
CA-68053,2023-06-22,2023-06-24,Standard Class,CUST-4466,Corporate,United States,Los Angeles,Illinois,South,Furniture,Storage,Product C,19.07,9,0.4,199.69
CA-31959,2023-06-23,2023-06-25,Standard Class,CUST-4081,Consumer,United States,Phoenix,Arizona,West,Office Supplies,Storage,Product A,209.39,4,0.06,274.54
CA-15530,2023-06-24,2023-06-26,Same Day,CUST-1629,Corporate,United States,Houston,Arizona,East,Technology,Tables,Product D,959.43,3,0.27,136.64
